,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
349,2022,Senior,Full Time,Data Analyst,135000,USD,135000,US,Fully Remote,US,M
527,2022,Senior,Full Time,Data Analyst,135000,USD,135000,US,Fully Remote,US,M
140,2021,Mid,Full Time,Data Analyst,135000,USD,135000,US,Fully Remote,US,L
524,2022,Mid,Full Time,Data Scientist,135000,USD,135000,US,Fully Remote,US,L
228,2021,Senior,Full Time,Data Scientist,135000,USD,135000,US,On-site,US,L
368,2022,Executive,Full Time,Analytics Engineer,135000,USD,135000,US,Fully Remote,US,M
470,2022,Mid,Full Time,Data Analyst,135000,USD,135000,US,Fully Remote,US,M
289,2022,Senior,Full Time,Data Engineer,135000,USD,135000,US,Fully Remote,US,M
366,2022,Senior,Full Time,Data Engineer,136000,USD,136000,US,On-site,US,M
338,2022,Senior,Full Time,Data Analyst,136600,USD,136600,US,Fully Remote,US,M
298,2022,Senior,Full Time,Data Scientist,136620,USD,136620,US,Fully Remote,US,M
380,2022,Senior,Full Time,Data Engineer,136994,USD,136994,US,Fully Remote,US,M
351,2022,Senior,Full Time,Data Science Manager,137141,USD,137141,US,Fully Remote,US,M
39,2020,Entry,Full Time,Machine Learning Engineer,138000,USD,138000,US,Fully Remote,US,S
59,2020,Mid,Full Time,Data Scientist,138350,USD,138350,US,Fully Remote,US,M
365,2022,Senior,Full Time,Data Scientist,138600,USD,138600,US,Fully Remote,US,M
469,2022,Senior,Full Time,Data Scientist,140000,USD,140000,US,Fully Remote,US,M
219,2021,Senior,Full Time,Data Analytics Manager,140000,USD,140000,US,Fully Remote,US,L
587,2022,Senior,Full Time,Data Scientist,140000,USD,140000,US,Fully Remote,US,M
575,2022,Senior,Full Time,Data Scientist,140000,USD,140000,US,Fully Remote,US,M
571,2022,Senior,Full Time,Data Scientist,140000,USD,140000,US,Fully Remote,US,M
569,2022,Senior,Full Time,Data Scientist,140000,USD,140000,US,Fully Remote,US,M
473,2022,Senior,Full Time,Data Scientist,140000,USD,140000,US,Fully Remote,US,M
81,2021,Mid,Full Time,Data Engineer,140000,USD,140000,US,Fully Remote,US,L
563,2022,Senior,Full Time,Data Engineer,140250,USD,140250,US,Fully Remote,US,M
559,2022,Senior,Full Time,Data Scientist,140400,USD,140400,US,On-site,US,M
428,2022,Senior,Full Time,Data Scientist,140400,USD,140400,US,On-site,US,L
551,2022,Senior,Full Time,Data Scientist,140400,USD,140400,US,On-site,US,L
538,2022,Mid,Full Time,Data Scientist,141300,USD,141300,US,On-site,US,M
259,2021,Executive,Full Time,Director of Data Science,120000,EUR,141846,DE,On-site,DE,L
154,2021,Senior,Full Time,Data Science Manager,144000,USD,144000,US,Fully Remote,US,L
466,2022,Senior,Full Time,Research Scientist,144000,USD,144000,US,Partially Remote,US,L
553,2022,Senior,Full Time,Data Scientist,144000,USD,144000,US,Fully Remote,US,M
591,2022,Senior,Full Time,Data Architect,144854,USD,144854,US,Fully Remote,US,M
394,2022,Senior,Full Time,Data Analytics Manager,145000,USD,145000,US,Fully Remote,US,M
556,2022,Senior,Full Time,Data Engineer,145000,USD,145000,US,Fully Remote,US,M
302,2022,Senior,Full Time,Data Scientist,146000,USD,146000,US,Fully Remote,US,M
195,2021,Mid,Full Time,Data Scientist,147000,USD,147000,US,Partially Remote,US,L
379,2022,Senior,Full Time,Data Architect,147800,USD,147800,US,Fully Remote,US,M
55,2020,Senior,Full Time,Principal Data Scientist,130000,EUR,148261,DE,Fully Remote,DE,M
169,2021,Mid,Full Time,Data Architect,150000,USD,150000,US,Fully Remote,US,L
151,2021,Mid,Full Time,Data Scientist,150000,USD,150000,US,Fully Remote,US,M
142,2021,Senior,Full Time,Data Engineering Manager,150000,USD,150000,US,On-site,US,L
4,2020,Senior,Full Time,Machine Learning Engineer,150000,USD,150000,US,Partially Remote,US,L
73,2021,Executive,Full Time,BI Data Analyst,150000,USD,150000,IN,Fully Remote,US,L
356,2022,Senior,Full Time,Data Scientist,150000,USD,150000,US,On-site,US,M
510,2022,Entry,Full Time,Computer Vision Software Engineer,150000,USD,150000,AU,Fully Remote,AU,S
101,2021,Senior,Full Time,Data Engineer,150000,USD,150000,US,Fully Remote,US,L
605,2022,Senior,Full Time,Data Analyst,150000,USD,150000,US,Fully Remote,US,M
108,2021,Senior,Full Time,Data Engineer,150000,USD,150000,US,Fully Remote,US,M
593,2022,Senior,Full Time,Data Scientist,150000,USD,150000,US,Fully Remote,US,M
295,2022,Mid,Full Time,Data Engineer,150000,USD,150000,US,Fully Remote,US,M
577,2022,Senior,Full Time,Data Analyst,150075,USD,150075,US,Fully Remote,US,M
594,2022,Senior,Full Time,Data Analytics Manager,150260,USD,150260,US,Fully Remote,US,M
125,2021,Mid,Full Time,Principal Data Scientist,151000,USD,151000,US,Fully Remote,US,L
190,2021,Senior,Full Time,Data Science Manager,152000,USD,152000,US,Fully Remote,FR,L
516,2022,Senior,Full Time,Data Science Manager,152500,USD,152500,US,Fully Remote,US,M
495,2022,Mid,Full Time,Machine Learning Scientist,153000,USD,153000,US,Partially Remote,US,M
148,2021,Senior,Full Time,Data Engineering Manager,153000,USD,153000,US,Fully Remote,US,L
84,2021,Executive,Full Time,Director of Data Science,130000,EUR,153667,IT,Fully Remote,PL,L
602,2022,Senior,Full Time,Data Engineer,154000,USD,154000,US,Fully Remote,US,M
401,2022,Senior,Full Time,Data Engineer,154600,USD,154600,US,Fully Remote,US,L
447,2022,Senior,Full Time,Data Engineer,154600,USD,154600,US,Fully Remote,US,L
537,2022,Senior,Full Time,Data Engineer,155000,USD,155000,US,Fully Remote,US,M
388,2022,Senior,Full Time,Data Engineer,155000,USD,155000,US,Fully Remote,US,M
290,2022,Senior,Full Time,Data Analyst,155000,USD,155000,US,Fully Remote,US,M
345,2022,Senior,Full Time,Data Engineer,156600,USD,156600,US,Fully Remote,US,M
509,2022,Mid,Full Time,Applied Data Scientist,157000,USD,157000,US,Fully Remote,US,L
399,2022,Senior,Full Time,Data Scientist,158200,USD,158200,US,Fully Remote,US,L
422,2022,Mid,Full Time,Data Science Manager,159000,USD,159000,US,Fully Remote,US,M
598,2022,Mid,Full Time,Data Scientist,160000,USD,160000,US,Fully Remote,US,M
549,2022,Senior,Full Time,Data Engineer,160000,USD,160000,US,Fully Remote,US,M
265,2021,Senior,Full Time,Lead Data Engineer,160000,USD,160000,PR,Partially Remote,US,S
364,2022,Senior,Full Time,Data Engineer,160000,USD,160000,US,On-site,US,L
419,2022,Mid,Full Time,Machine Learning Scientist,160000,USD,160000,US,Fully Remote,US,L
204,2021,Mid,Full Time,Data Scientist,160000,USD,160000,US,Fully Remote,US,L
555,2022,Senior,Full Time,Data Engineer,160000,USD,160000,US,Fully Remote,US,M
149,2021,Senior,Full Time,Cloud Data Engineer,160000,USD,160000,BR,Fully Remote,US,S
583,2022,Senior,Full Time,Data Engineer,160080,USD,160080,US,Fully Remote,US,M
322,2022,Senior,Full Time,Data Engineer,160080,USD,160080,US,On-site,US,M
350,2022,Senior,Full Time,Data Science Manager,161342,USD,161342,US,Fully Remote,US,M
464,2022,Senior,Full Time,Principal Data Scientist,148000,EUR,162674,DE,Fully Remote,DE,M
387,2022,Senior,Full Time,Data Analyst,164000,USD,164000,US,On-site,US,M
372,2022,Senior,Full Time,Machine Learning Engineer,164996,USD,164996,US,On-site,US,M
439,2022,Senior,Full Time,Machine Learning Engineer,164996,USD,164996,US,On-site,US,M
243,2021,Senior,Full Time,Data Scientist,165000,USD,165000,US,Fully Remote,US,L
165,2021,Senior,Full Time,Data Specialist,165000,USD,165000,US,Fully Remote,US,L
497,2022,Senior,Full Time,Data Scientist,165000,USD,165000,US,Fully Remote,US,M
207,2021,Senior,Full Time,Data Engineer,165000,USD,165000,US,On-site,US,M
315,2022,Senior,Full Time,Data Scientist,165220,USD,165220,US,Fully Remote,US,M
334,2022,Senior,Full Time,Data Engineer,165400,USD,165400,US,Fully Remote,US,M
377,2022,Senior,Full Time,Data Engineer,165400,USD,165400,US,Fully Remote,US,M
352,2022,Senior,Full Time,Data Scientist,167000,USD,167000,US,Fully Remote,US,M
336,2022,Mid,Full Time,Data Analyst,167000,USD,167000,US,Fully Remote,US,M
343,2022,Executive,Full Time,Head of Data Science,167875,USD,167875,US,Fully Remote,US,M
150,2021,Senior,Full Time,Director of Data Science,168000,USD,168000,JP,On-site,JP,S
597,2022,Senior,Full Time,Data Analyst,170000,USD,170000,US,Fully Remote,US,M
566,2022,Senior,Full Time,Data Analyst,170000,USD,170000,US,Fully Remote,US,M
170,2021,Mid,Full Time,Data Architect,170000,USD,170000,US,Fully Remote,US,L
294,2022,Mid,Full Time,Data Engineer,170000,USD,170000,US,Fully Remote,US,M
88,2021,Senior,Full Time,Lead Data Analyst,170000,USD,170000,US,Fully Remote,US,L
369,2022,Senior,Full Time,Data Scientist,170000,USD,170000,US,Fully Remote,US,M
249,2021,Senior,Full Time,Principal Data Analyst,170000,USD,170000,US,Fully Remote,US,M
328,2022,Senior,Full Time,Data Analyst,170000,USD,170000,US,Fully Remote,US,M
257,2021,Senior,Full Time,Principal Data Scientist,147000,EUR,173762,DE,Fully Remote,DE,M
175,2021,Senior,Full Time,Data Engineering Manager,174000,USD,174000,US,Fully Remote,US,L
193,2021,Senior,Full Time,Data Science Manager,174000,USD,174000,US,Fully Remote,US,L
344,2022,Executive,Full Time,Analytics Engineer,175000,USD,175000,US,Fully Remote,US,M
404,2022,Senior,Full Time,Data Engineer,175000,USD,175000,US,Fully Remote,US,M
562,2022,Senior,Full Time,Data Engineer,175100,USD,175100,US,Fully Remote,US,M
552,2022,Senior,Full Time,Data Scientist,176000,USD,176000,US,Fully Remote,US,M
525,2022,Senior,Full Time,Applied Data Scientist,177000,USD,177000,US,Fully Remote,US,L
323,2022,Senior,Full Time,Data Scientist,180000,USD,180000,US,On-site,US,L
234,2021,Mid,Full Time,Data Architect,180000,USD,180000,US,Fully Remote,US,L
423,2022,Senior,Full Time,Data Scientist,180000,USD,180000,US,On-site,US,M
409,2022,Senior,Full Time,Data Scientist,180000,USD,180000,US,Fully Remote,US,M
448,2022,Senior,Full Time,Data Engineer,180000,USD,180000,US,Fully Remote,US,M
319,2022,Senior,Full Time,Data Engineer,181940,USD,181940,US,On-site,US,M
474,2022,Mid,Full Time,Data Scientist,140000,GBP,183228,GB,On-site,GB,M
407,2022,Senior,Full Time,Data Engineer,183600,USD,183600,US,Fully Remote,US,L
561,2022,Senior,Full Time,Analytics Engineer,184700,USD,184700,US,On-site,US,M
258,2021,Senior,Full Time,Machine Learning Engineer,185000,USD,185000,US,Partially Remote,US,L
215,2021,Senior,Full Time,Principal Data Engineer,185000,USD,185000,US,Fully Remote,US,L
476,2022,Senior,Full Time,Data Scientist,185100,USD,185100,US,Fully Remote,US,M
106,2021,Mid,Full Time,Research Scientist,235000,CAD,187442,CA,Fully Remote,CA,L
47,2020,Senior,Full Time,Data Engineer,188000,USD,188000,US,Fully Remote,US,L
438,2022,Senior,Full Time,Machine Learning Engineer,189650,USD,189650,US,On-site,US,M
371,2022,Senior,Full Time,Machine Learning Engineer,189650,USD,189650,US,On-site,US,M
6,2020,Senior,Full Time,Lead Data Scientist,190000,USD,190000,US,Fully Remote,US,S
67,2020,Senior,Full Time,Data Science Manager,190200,USD,190200,US,Fully Remote,US,M
358,2022,Senior,Full Time,Data Architect,192400,USD,192400,CA,Fully Remote,CA,M
590,2022,Senior,Full Time,Data Architect,192564,USD,192564,US,Fully Remote,US,M
533,2022,Senior,Full Time,Machine Learning Engineer,192600,USD,192600,US,Fully Remote,US,M
201,2021,Senior,Full Time,Machine Learning Infrastructure Engineer,195000,USD,195000,US,Fully Remote,US,M
452,2022,Executive,Full Time,Director of Data Science,250000,CAD,196979,CA,Partially Remote,CA,L
206,2021,Senior,Full Time,Machine Learning Engineer,200000,USD,200000,US,Fully Remote,US,L
606,2022,Mid,Full Time,AI Scientist,200000,USD,200000,IN,Fully Remote,US,L
256,2021,Mid,Full Time,Data Engineer,200000,USD,200000,US,Fully Remote,US,L
490,2022,Senior,Full Time,Head of Data,200000,USD,200000,MY,Fully Remote,US,M
310,2022,Executive,Full Time,Data Engineer,200000,USD,200000,US,Fully Remote,US,M
478,2022,Mid,Full Time,Data Scientist,200000,USD,200000,US,Fully Remote,US,M
232,2021,Senior,Full Time,Director of Data Engineering,200000,USD,200000,US,Fully Remote,US,L
121,2021,Senior,Full Time,Principal Data Engineer,200000,USD,200000,US,Fully Remote,US,M
233,2021,Senior,Full Time,Data Analyst,200000,USD,200000,US,Fully Remote,US,L
119,2021,Mid,Full Time,Data Engineer,200000,USD,200000,US,Fully Remote,US,L
554,2022,Senior,Full Time,Data Engineer,200100,USD,200100,US,Fully Remote,US,M
550,2022,Senior,Full Time,Data Scientist,205300,USD,205300,US,On-site,US,L
560,2022,Senior,Full Time,Analytics Engineer,205300,USD,205300,US,On-site,US,M
558,2022,Senior,Full Time,Data Scientist,205300,USD,205300,US,On-site,US,M
542,2022,Mid,Full Time,Data Engineer,206699,USD,206699,US,On-site,US,M
378,2022,Senior,Full Time,Data Architect,208775,USD,208775,US,Fully Remote,US,M
446,2022,Senior,Full Time,Data Engineer,209100,USD,209100,US,Fully Remote,US,L
400,2022,Senior,Full Time,Data Engineer,209100,USD,209100,US,Fully Remote,US,L
574,2022,Senior,Full Time,Data Scientist,210000,USD,210000,US,Fully Remote,US,M
576,2022,Senior,Full Time,Data Scientist,210000,USD,210000,US,Fully Remote,US,M
570,2022,Senior,Full Time,Data Scientist,210000,USD,210000,US,Fully Remote,US,M
484,2022,Senior,Full Time,Data Engineer,210000,USD,210000,US,Fully Remote,US,M
596,2022,Senior,Full Time,Data Scientist,210000,USD,210000,US,Fully Remote,US,M
357,2022,Senior,Full Time,Data Scientist,211500,USD,211500,US,Fully Remote,US,M
535,2022,Senior,Full Time,Data Architect,213120,USD,213120,US,Fully Remote,US,M
532,2022,Senior,Full Time,Machine Learning Engineer,214000,USD,214000,US,Fully Remote,US,M
398,2022,Senior,Full Time,Data Scientist,215300,USD,215300,US,Fully Remote,US,L
444,2022,Senior,Full Time,Data Scientist,215300,USD,215300,US,On-site,US,L
483,2022,Executive,Full Time,Data Engineer,216000,USD,216000,US,Fully Remote,US,M
472,2022,Senior,Full Time,Data Scientist,220000,USD,220000,US,Fully Remote,US,M
138,2021,Senior,Full Time,Principal Data Scientist,220000,USD,220000,US,On-site,US,L
477,2022,Senior,Full Time,Machine Learning Engineer,220000,USD,220000,US,Fully Remote,US,M
321,2022,Senior,Full Time,Data Engineer,220110,USD,220110,US,On-site,US,M
582,2022,Senior,Full Time,Data Engineer,220110,USD,220110,US,Fully Remote,US,M
342,2022,Executive,Full Time,Head of Data Science,224000,USD,224000,US,Fully Remote,US,M
224,2021,Senior,Full Time,Machine Learning Scientist,225000,USD,225000,US,Fully Remote,CA,L
115,2021,Entry,Full Time,Machine Learning Scientist,225000,USD,225000,US,Fully Remote,US,L
486,2022,Senior,Full Time,Data Scientist,230000,USD,230000,US,Fully Remote,US,M
160,2021,Executive,Full Time,Head of Data,230000,USD,230000,RU,Partially Remote,RU,L
592,2022,Senior,Full Time,Data Scientist,230000,USD,230000,US,Fully Remote,US,M
173,2021,Senior,Full Time,Principal Data Scientist,235000,USD,235000,US,Fully Remote,US,L
74,2021,Executive,Full Time,Head of Data,235000,USD,235000,US,Fully Remote,US,L
141,2021,Senior,Full Time,Data Science Manager,240000,USD,240000,US,On-site,US,L
421,2022,Mid,Full Time,Data Science Manager,241000,USD,241000,US,Fully Remote,US,M
309,2022,Executive,Full Time,Data Engineer,242000,USD,242000,US,Fully Remote,US,M
337,2022,Senior,Full Time,Data Engineer,243900,USD,243900,US,Fully Remote,US,M
167,2021,Executive,Full Time,Director of Data Science,250000,USD,250000,US,On-site,US,L
37,2020,Entry,Full Time,Machine Learning Engineer,250000,USD,250000,US,Partially Remote,US,L
231,2021,Senior,Full Time,ML Engineer,256000,USD,256000,US,Fully Remote,US,S
1,2020,Senior,Full Time,Machine Learning Scientist,260000,USD,260000,JP,On-site,JP,S
416,2022,Senior,Full Time,Data Scientist,260000,USD,260000,US,Fully Remote,US,M
534,2022,Senior,Full Time,Data Architect,266400,USD,266400,US,Fully Remote,US,M
78,2021,Mid,Contract,ML Engineer,270000,USD,270000,US,Fully Remote,US,L
93,2021,Senior,Full Time,Lead Data Engineer,276000,USD,276000,US,On-site,US,L
482,2022,Executive,Full Time,Data Engineer,324000,USD,324000,US,Fully Remote,US,M
25,2020,Executive,Full Time,Director of Data Science,325000,USD,325000,US,Fully Remote,US,L
519,2022,Senior,Full Time,Applied Data Scientist,380000,USD,380000,US,Fully Remote,US,L
523,2022,Senior,Full Time,Data Analytics Lead,405000,USD,405000,US,Fully Remote,US,L
63,2020,Senior,Full Time,Data Scientist,412000,USD,412000,US,Fully Remote,US,L
225,2021,Executive,Contract,Principal Data Scientist,416000,USD,416000,US,Fully Remote,US,S
157,2021,Mid,Full Time,Applied Machine Learning Scientist,423000,USD,423000,US,Partially Remote,US,L
33,2020,Mid,Full Time,Research Scientist,450000,USD,450000,US,On-site,US,M
97,2021,Mid,Full Time,Financial Data Analyst,450000,USD,450000,US,Fully Remote,US,L
252,2021,Executive,Full Time,Principal Data Engineer,600000,USD,600000,US,Fully Remote,US,L
